sequence_id	AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1
Erlan_1:bin_000001	21338	311508	7406	107508	38	585	594	8226	1245	18738	178	2326	1680	24180	236	3569	48	743	8767	137763	77	1308
Erlan_1:bin_000002	49175	722774	50	669	302	4229	4	83	6526	92725	1638	23962	9	202	27	330	898	13530	214	3592	229	3562
Erlan_1:bin_000003	28125	399975	32692	471144	422	5280	2263	31911	19116	265986	293	3552	15468	220996	16474	252419	313	4168	32990	505973	2119	31950
Erlan_1:bin_000004	15101	213812	1563	22422	294	3433	6239	94222	2575	35067	4891	72398	15487	224636	5325	79531	2554	34440	13124	203475	1965	29100
Erlan_1:bin_000005	99973	1396196	3836	52275	463	6786	5886	81065	48111	652749	119	1638	11707	162144	25127	368813	77	967	68870	1040461	400	6603
Erlan_1:bin_000006	19446	279567	7843	112303	647	8127	494	7811	10509	147484	114	1659	2545	37491	2103	29378	110	1427	20914	311818	883	12471
Erlan_1:bin_000007	134810	1886582	11401	159131	141	1991	4426	61342	3226	45265	717	10597	6062	84390	1461	22465	154	2471	10474	163005	463	6930
Erlan_1:bin_000008	7164	99380	84	1276	36	184	78	1002	4073	58142	2	38	162	2386	89	1260	1	5	8687	132929	10	159
Erlan_1:bin_000010	20858	304138	2318	35872	1797	24771	1456	21207	15187	220073	7775	118288	8356	121114	34923	539954	6037	82599	15805	244977	386	5501
Erlan_1:bin_000011	20668	298084	4916	68961	1964	27189	758	11144	1174	16602	748	11076	1034	15796	3270	49591	281	3533	6517	99048	58	846
Erlan_1:bin_000012	116838	1636147	3984	56187	227	2978	23688	333326	19364	262259	21578	312567	38472	533738	1393	19202	3188	45614	9115	138622	876	12211
Erlan_1:bin_000014	13401	188730	601	8673	1262	15670	1025	14551	635	9552	462	6473	1199	17396	1223	21386	232	2497	240	3729	98	1556
Erlan_1:bin_000015	44020	625741	5	109	7	117	16	223	16681	227708	7	106	26	642	32	688	4	60	17889	269574	0	28
Erlan_1:bin_000019	12066	170999	370	5529	36	443	210	3072	6036	84859	41	415	1634	20905	404	5639	13	119	4982	76366	281	3772
Erlan_1:bin_000021	9319	136568	5097	72857	1187	16440	7768	111051	2616	37579	1399	20806	14318	212345	8752	134401	1535	21437	10338	162816	1973	30240
Erlan_1:bin_000022	10477	149635	2805	40954	1732	23521	968	15840	7191	94720	210	3819	2601	39942	3148	50849	57	1454	9375	143992	174	3190
Erlan_1:bin_000026	29740	437887	16935	239500	1445	17622	6606	94657	15283	210304	1737	26916	34848	495680	20908	311447	1447	21450	16654	254236	3292	45260
Erlan_1:bin_000027	39643	557573	108563	1538681	12074	156543	101660	1457255	73121	1008432	1614	24290	425722	5987309	223853	3356754	1151	15881	96902	1458056	26369	380539
Erlan_1:bin_000029	7187	101133	6357	90519	849	11295	3272	44975	3929	54974	359	4646	10290	145466	8358	122194	179	2873	8061	123483	1152	16794
Erlan_1:bin_000031	9892	136325	4427	63542	60	916	4081	56417	8855	120259	163	2304	28039	394713	872	13583	136	1820	19693	300741	1683	24353
Erlan_1:bin_000032	5637	81371	4209	59871	313	3704	573	8464	2176	30985	20	307	2113	32023	1357	21653	2	65	3231	50749	211	3789
Erlan_1:bin_000033	71570	1025130	0	18	0	2	2174	31788	21310	288931	0	0	13611	188983	0	9	0	0	28380	434374	2838	38484
Erlan_1:bin_000036	3221	49793	3633	51814	25	431	2768	40870	351	5440	45	779	9156	136797	79	1483	23	332	12588	196230	1611	24571
Erlan_1:bin_000037	56826	799376	15844	223660	4073	53475	16700	232409	33204	454405	203	3287	55338	767802	60787	915337	142	2078	49544	762596	7200	106259
Erlan_1:bin_000040	9272	127585	2766	38256	877	10771	3635	51111	205	2816	131	1672	3485	48212	122	2184	34	461	32	491	120	1724
Erlan_1:bin_000042	8382	119164	106	1542	82	1087	4110	57672	282	3527	9	171	12107	163820	71	1250	0	15	62	834	954	12493
Erlan_1:bin_000043	16748	241964	4982	72569	1307	16597	1816	26594	3363	48247	301	3889	4812	72843	7934	123741	119	1883	1155	19546	260	3896
Erlan_1:bin_000044	16681	234807	789	10747	5	146	794	10284	1424	20185	45	452	444	5365	243	3800	22	235	367	6011	12	165
Erlan_1:bin_000045	16230	230972	2241	32676	449	5212	6232	87347	3779	54232	1153	16902	16220	230523	3050	44987	389	5363	18130	278549	2278	32834
Erlan_1:bin_000046	16201	225450	5235	74034	886	11486	5445	76094	11345	150934	115	1918	33969	479299	8013	121929	93	1623	16567	244532	3160	45611
Erlan_1:bin_000048	3587	54538	1437	21293	712	9699	3237	43820	14530	201459	204	3393	13542	197589	10987	170919	186	2404	4727	74609	535	8757
Erlan_1:bin_000049	812	11561	17	213	12	223	5	56	1358	17698	2059	29245	21	92	55	805	80	1098	4822	71991	0	42
Erlan_1:bin_000050	16862	245283	2882	43001	1725	22031	4162	57540	6888	100724	1394	20209	15792	227096	18306	286494	44	715	5582	84535	1214	17358
Erlan_1:bin_000051	3621	51974	3	69	354	5157	0	5	1913	27370	0	0	0	3	2261	33414	0	2	8964	138456	0	0
Erlan_1:bin_000053	16232	233156	16128	229456	1921	25365	17393	252113	13137	179615	2368	32975	74769	1061794	16819	254009	1757	24664	17618	265832	4644	67862
Erlan_1:bin_000054	10006	143744	842	12347	40	407	3757	54642	7701	105491	901	12576	4754	67555	750	10164	85	1369	5518	83126	143	2233
Erlan_1:bin_000055	6951	101749	6450	95668	1000	13145	252	3905	4884	70946	13	247	605	8182	7737	120908	17	162	4191	66054	22	386
Erlan_1:bin_000065	6299	89277	12341	171676	2822	33351	5393	77523	9206	123766	782	11458	21979	311417	17466	262586	786	11330	16854	260439	1694	23395
Erlan_3:bin_000001	422	6523	59497	833330	7455	99809	1533	22420	3172	44681	1426	20740	5211	75375	806	11728	2	32	22	388	0	36
Erlan_3:bin_000002	576	8174	55	871	11074	142166	735	10397	4583	64138	50138	723499	617	8320	2544	39240	13415	186990	6304	98000	154	2244
Erlan_3:bin_000003	505	6168	623	9603	58	879	1386	18317	612	7512	59550	858001	8179	113578	2387	36366	28952	399539	831	13661	795	10751
Erlan_3:bin_000004	4689	69754	2743	37845	295	3206	6425	93144	2150	30563	15964	235890	17427	249965	1295	20514	2613	35771	649	10323	731	11798
Erlan_3:bin_000005	520	7256	122023	1779352	16	153	0	11	12953	184005	0	0	0	6	69	1204	0	0	8533	136773	0	0
Erlan_3:bin_000006	1094	15873	51627	755778	79322	1032268	31	542	3351	48921	18409	275301	567	8001	29306	447170	103	1152	83	1230	7	142
Erlan_3:bin_000008	18384	278163	1882	25813	210	2822	1656	23287	2639	36328	68201	1001936	5556	79411	1703	25015	22033	307252	1409	21575	289	4338
Erlan_3:bin_000014	1796	26947	455	7140	496	6004	2375	34830	968	13674	14949	219287	12512	179625	5156	77276	3963	52072	820	12465	865	12645
Erlan_3:bin_000015	4622	64685	14320	204843	14	79	17	242	100	1249	4	20	43	550	9	197	2	25	13	225	1	64
Erlan_3:bin_000016	1248	16805	2246	31326	330	4093	2327	34940	1037	14270	137308	1990512	8439	117008	3854	61662	83778	1170991	1621	24190	793	10719
Erlan_3:bin_000017	1185	18037	3242	49604	398	5472	1951	27678	1072	15803	60016	875303	7473	106546	3728	55354	85760	1189516	1688	26406	513	8264
Erlan_3:bin_000023	2060	29113	3681	52155	131	1817	2051	31204	1466	19969	3741	56750	5727	82614	1736	25435	719	11012	2180	35544	462	7362
Erlan_3:bin_000027	2070	29709	547	7321	180	2126	1977	28666	1347	19755	2961	44487	3897	57537	2128	32940	2925	39242	939	13810	168	2905
Erlan_3:bin_000028	8	82	4	29	0	36	74	807	3	81	7112	103465	39	582	66	1049	1584	21105	5	73	0	11
