sequence_id	AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1
Erlan_1:bin_000001	1292856	2346271	521327	1850447	2058	28716	32320	243125	105563	1150327	11570	58184	99636	618284	15678	74273	4078	29948	672267	2294524	5884	48464
Erlan_1:bin_000002	2875210	4680392	5404	30828	27653	277588	347	5099	567091	3866186	150141	1762748	885	8383	1201	16403	83555	961353	19250	322070	22661	336626
Erlan_1:bin_000003	1961017	4248306	2060810	4144877	35238	335415	194723	1880084	1462053	4232245	9499	20719	1135293	3998100	1220531	4026404	9365	18440	2170720	4251045	197092	2171547
Erlan_1:bin_000004	1127092	3034832	131246	823737	23675	232794	517737	2705791	228986	1992814	431093	2608820	1090014	2897706	441681	2642613	231920	1961143	994062	3028347	182910	1794035
Erlan_1:bin_000005	2824548	2968455	307299	1443216	41851	440579	479178	2637867	2282609	2967386	1739	4335	855268	2862185	1560614	2941522	1681	3830	2604879	2967685	35694	554847
Erlan_1:bin_000006	1241146	2445759	588348	2008054	55754	515897	43401	491354	772499	2425450	4263	19254	193822	1453660	167252	1432546	5694	16635	1292084	2446430	81181	928359
Erlan_1:bin_000007	4092606	4411068	804660	3174004	10090	69229	226354	1577680	267160	2519670	39992	148380	244323	1363184	59258	170944	13813	72460	842060	4184764	33233	138073
Erlan_1:bin_000008	554921	1852240	6372	26426	2543	12233	5815	70053	340411	1757649	71	2712	12258	105731	6971	82377	145	358	651324	1873405	846	12852
Erlan_1:bin_000010	1339060	2842586	190401	1150103	141677	1184541	118503	1094208	1077985	2812695	620950	2446765	595021	2548119	1745126	2690600	487164	2266705	1060964	2795437	23361	272063
Erlan_1:bin_000011	1409708	3132697	389660	1801232	158947	1274219	61864	727674	106142	1199690	66543	848012	81249	723637	249701	2035295	24849	314002	545809	2902630	5098	56180
Erlan_1:bin_000012	3144136	3305760	312348	1503944	18779	94826	1368041	2832011	1363923	3285947	1431492	2866891	1911183	2833715	79255	347248	274120	2158680	734778	3219560	79462	907858
Erlan_1:bin_000014	950761	2264976	46117	241505	106688	892170	67220	476621	55981	648169	24424	190062	62430	305953	85369	1026045	15006	136154	15552	147548	8027	58148
Erlan_1:bin_000015	1924349	2346396	631	2251	320	3184	1363	7766	1126584	2343882	670	3592	2054	11127	2618	15337	300	3402	1176492	2345349	0	2665
Erlan_1:bin_000019	967028	3470069	25340	105567	2501	20929	13594	75757	519147	3157338	2420	10582	81344	472873	23996	54990	1029	5770	424504	3039299	24859	272130
Erlan_1:bin_000021	728156	2975694	403530	1843446	95873	875988	600522	2736203	232937	2020022	118165	1246373	982823	2846630	659822	2725362	134996	1347876	795677	3017997	178408	1774784
Erlan_1:bin_000022	774911	2302719	225772	1132696	146486	1146354	72219	865494	573148	2250048	8336	26473	175614	1272528	246513	1876327	1781	12056	710313	2295582	17539	249248
Erlan_1:bin_000026	2020533	4302503	1192037	3666273	125362	999952	471776	2939358	1181206	4208927	62937	148480	1788473	4104512	1325439	3900957	52801	129008	1243773	4238841	290625	2352420
Erlan_1:bin_000027	2436041	4811692	3747444	4845428	946832	3905125	3656952	4641123	3441241	4980257	20794	41560	4426668	4728387	4226655	4714695	20313	38402	3808999	4996491	1854292	4455912
Erlan_1:bin_000029	583816	2781723	473385	1990953	74846	692991	258933	2069866	322662	2357018	6191	12488	691684	2771135	614305	2772082	5116	10844	649085	2855081	105713	1182250
Erlan_1:bin_000031	834941	4384785	350497	1791083	5745	43201	339834	3020233	749100	4283655	7451	19984	1927767	4692263	46806	177234	7206	16609	1499407	4718092	155692	1824687
Erlan_1:bin_000032	459709	1808957	320757	1278791	27991	250188	48217	619081	197357	1461520	1546	3567	183729	1262827	118131	1157468	86	2196	274605	1680886	19808	336615
Erlan_1:bin_000033	2340910	2524021	0	777	0	89	194536	1724552	1353568	2522329	0	0	965619	2506052	0	768	0	0	1635780	2522251	252725	1951312
Erlan_1:bin_000036	275429	2258938	295863	1530070	1345	9999	237721	1989762	29979	438290	3101	18337	698354	2731402	5802	32508	1491	8272	938262	2978926	151569	1589205
Erlan_1:bin_000037	3190810	5035631	1134818	3960691	347878	2584314	1189443	4692672	2252589	5024412	7955	20740	2788672	4934176	3091896	4994391	7130	15754	2930622	5030856	604020	4059024
Erlan_1:bin_000040	699021	1934383	212047	814841	9336	21474	299167	1558352	19237	243027	7796	17705	281199	1459052	9403	54075	2544	14456	3073	42863	11220	124207
Erlan_1:bin_000042	587428	1429092	3949	8159	4882	31546	150487	172959	25322	295607	777	4257	171728	175504	5710	75777	0	1380	6290	73103	70378	169694
Erlan_1:bin_000043	1164096	2875715	392884	1834234	108583	900702	157479	1450441	282826	2158279	24584	147879	385278	2026439	542030	2301910	7021	44789	89984	986125	25782	329292
Erlan_1:bin_000044	1177586	2775341	64506	379370	551	7422	68494	780745	126769	1332567	903	2210	35207	293401	10523	18030	754	1536	26888	272815	1110	5461
Erlan_1:bin_000045	1195992	4755664	142520	504006	33480	229068	447725	2911327	330826	2962063	79796	373573	1024911	4170010	176647	812884	31420	214432	1348525	4852621	202679	2007813
Erlan_1:bin_000046	1299963	4906568	394198	1879782	75811	706584	407563	3099475	928718	4679464	5553	12299	2026784	4734340	547924	3703956	3714	11667	1283877	4943177	277706	2658315
Erlan_1:bin_000048	318774	2569422	121669	795457	62470	604019	275015	2213749	1113980	3457990	16830	236160	992569	3127996	808925	2750895	16667	177579	406009	2941507	52575	748642
Erlan_1:bin_000049	71631	606953	992	6488	192	2832	585	3175	113287	718699	174916	746629	1210	2931	2336	5268	6017	99319	341568	836375	0	3554
Erlan_1:bin_000050	1304496	4213893	237372	1331514	153275	1267127	345777	2673981	594555	3734435	122504	1452701	1139902	3731253	1294966	3715757	3808	40496	476373	3487106	112687	1327675
Erlan_1:bin_000051	329386	2714563	231	2083	33151	359084	0	242	179677	1883070	0	0	0	157	194381	2027182	0	151	737743	3567791	0	0
Erlan_1:bin_000053	1198696	3642432	1120046	3217333	166398	1371463	1183029	3294859	1015533	3620483	66580	167147	2707981	3492625	1095950	3542545	58303	176236	1284733	3664746	397073	2698236
Erlan_1:bin_000054	877417	4987221	71438	483553	3626	25537	271958	786136	670452	4571958	78923	552735	330252	798808	63317	481324	7910	113979	483723	3992122	15022	190371
Erlan_1:bin_000055	552308	1805907	490813	1645634	86827	738651	22654	305162	407784	1762943	1028	15043	52572	442828	569072	1795552	1305	11948	349313	1739865	2403	38254
Erlan_1:bin_000065	513785	3317379	862610	3051776	240289	1761948	343797	1617350	740876	3977607	41517	132122	840126	2376075	1126539	3956333	42968	134756	1261012	4414780	142992	990265
Erlan_3:bin_000001	34115	451310	2679972	3495227	619252	2826104	115718	1284883	286867	2339619	137297	1443519	441036	2427379	67917	788168	122	2454	2159	33575	0	3194
Erlan_3:bin_000002	50139	637561	557	3792	867881	3944577	68015	839006	406236	3315905	2983630	4711621	52425	504987	229299	2392651	1093481	4600632	546245	3925908	16239	223006
Erlan_3:bin_000003	29722	105021	39847	160879	5211	46655	109892	1102073	45740	366577	2621497	3179665	620637	2808809	180072	1665189	1811642	3180064	65205	660387	71170	849261
Erlan_3:bin_000004	374596	1863873	220199	1033495	24805	188337	497415	1910941	177517	1462722	1049098	1990302	1079862	1956196	100181	1016565	226890	1607318	50041	592186	71288	864107
Erlan_3:bin_000005	50681	618154	2893445	3016148	1236	9768	0	1074	993405	3000305	0	0	0	156	5714	30310	0	0	695543	2955361	0	0
Erlan_3:bin_000006	101011	1201763	2479133	3700016	2920219	3742442	3038	46984	295943	2461982	1312028	3449873	48894	537906	1780320	3611873	8973	104201	7734	112063	667	13466
Erlan_3:bin_000008	1055738	2432121	91838	322216	16467	93594	89355	466097	196987	1457093	2376202	2676830	155621	392664	73796	226403	1351938	2616794	88009	490704	23989	140854
Erlan_3:bin_000014	164417	1761341	35449	174211	44183	430009	199898	2042510	85862	946924	1174531	3930773	972294	3769651	429017	3166154	349368	2822027	67109	767024	82362	1043883
Erlan_3:bin_000015	373505	1427202	843443	1461771	759	1396	1289	9112	10505	109198	359	757	2456	11012	724	5265	150	593	913	14970	129	3763
Erlan_3:bin_000016	49344	196465	119495	469542	19253	95145	123258	1028477	51258	218320	3915277	4142943	190265	926507	90614	248452	3433169	4142278	67784	249207	41932	247891
Erlan_3:bin_000017	85920	466020	228414	987789	34315	292638	134570	813984	78193	466547	3033325	4552772	332258	975952	207139	1237191	3612584	4556188	113627	540977	43802	359931
Erlan_3:bin_000023	150987	1091325	294717	1327476	10995	78210	166971	1288694	114494	1027353	319396	1709380	417573	1648039	90117	172999	67578	804556	183476	1394568	43074	534424
