Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastp | AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2											6.74772	0.940928	258966883.0	1936892.0	0.442765	97.47320469709155	21.18064397298176						
fastp | AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		8.406581492931736	44.0	142.0868298284055	150	9.090909090909092	968446.0
fastp | AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.897019621142704	44.0	142.09596301703968	150	9.090909090909092	968446.0
fastp | AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1											6.2042399999999995	0.947778	3674995104.0	27597386.0	0.444619	97.1435267524469	24.940949797454163						
fastp | AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		8.594210390491654	44.0	140.49412136352333	150	9.090909090909092	13798693.0
fastp | AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		9.079231736610907	44.0	140.49857330690668	150	9.090909090909092	13798693.0
fastp | AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2											7.58629	0.943289	235040730.0	1759248.0	0.442727	92.36352181445898	25.67574946185751						
fastp | AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		13.13992584601425	44.0	141.62471351395595	150	9.090909090909092	879624.0
fastp | AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		14.008401042614167	44.0	141.63586600638453	150	9.090909090909092	879624.0
fastp | AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1											26.6398	0.951775	3366081435.0	25226842.0	0.443842	90.34893811486961	29.873617421942967						
fastp | AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		55.041075582940366	44.0	140.18380057242203	150	18.181818181818183	12613421.0
fastp | AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		55.55104995226066	44.0	140.19186388847245	150	18.181818181818183	12613421.0
fastp | AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2											6.69849	0.944103	198833870.0	1488246.0	0.434479	96.57262774291009	25.072677059486175						
fastp | AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		9.159223409823866	43.0	141.50222745433214	150	18.181818181818183	744123.0
fastp | AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		9.810027843687095	43.0	141.51408033349324	150	18.181818181818183	744123.0
fastp | AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1											13.5387	0.953569	2602638644.0	19451134.0	0.434915	95.84900911207303	28.056670909072633						
fastp | AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		23.98158590284082	43.0	140.3114198894522	150	18.181818181818183	9725567.0
fastp | AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		24.87310489887375	43.0	140.31436861213336	150	18.181818181818183	9725567.0
fastp | AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2											6.499340000000001	0.944648	214587684.0	1607736.0	0.423676	97.22194674168337	23.968782276576547						
fastp | AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		7.979197564398106	42.0	141.2833512467221	150	9.090909090909092	803868.0
fastp | AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.43002065485804	42.0	141.2929846691248	150	9.090909090909092	803868.0
fastp | AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1											6.084910000000001	0.95272	3047907385.0	22890120.0	0.424744	96.91865497766352	27.755532379129228						
fastp | AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		8.370095896827436	42.0	139.7532709308645	150	9.090909090909092	11445060.0
fastp | AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		8.780842293280983	42.0	139.75741874660335	150	9.090909090909092	11445060.0
fastp | AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2											7.77958	0.942359	132630003.0	984576.0	0.442567	98.54096565694577	19.392706229470132						
fastp | AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		9.399753100677671	44.0	142.93934851144047	150	9.090909090909092	492288.0
fastp | AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		9.83077423020643	44.0	142.9494970423817	150	9.090909090909092	492288.0
fastp | AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1											5.92581	0.949865	1822935241.0	13580138.0	0.444284	98.31013971191223	23.365071211145448						
fastp | AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		5.786428241687446	44.0	141.3137373125369	150	9.090909090909092	6790069.0
fastp | AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		6.069231437204991	44.0	141.31667851976172	150	9.090909090909092	6790069.0
fastp | AK01_EKDL240003470-1A_223JWCLT4_L2.lib2											6.53542	0.943403	131817565.0	976878.0	0.437121	97.98194178925134	19.910370933542495						
fastp | AK01_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		8.168023903599234	43.0	143.02514950689852	150	9.090909090909092	488439.0
fastp | AK01_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.638429023736165	43.0	143.0301040662191	150	9.090909090909092	488439.0
fastp | AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1											5.17382	0.950415	1915501796.0	14226330.0	0.438116	97.83821486055524	23.264522647790322						
fastp | AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		7.7951549760820456	43.0	141.6687201829284	150	9.090909090909092	7113165.0
fastp | AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		8.287191181494407	43.0	141.65876919767783	150	9.090909090909092	7113165.0
fastp | AK03_EKDL240003470-1A_223JWCLT4_L2.lib2											6.239850000000001	0.942326	588717260.0	4412250.0	0.441392	96.8745883282835	23.55737057041233						
fastp | AK03_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		8.7347789545192	44.0	141.58258802198424	150	9.090909090909092	2206125.0
fastp | AK03_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		9.482815465137946	44.0	141.59433531644854	150	9.090909090909092	2206125.0
fastp | AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1											13.787099999999999	0.947765	8298188331.0	62380680.0	0.443101	96.28443674588947	26.670004326115382						
fastp | AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		28.29624906656079	44.0	140.34775132300578	150	9.090909090909092	31190340.0
fastp | AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		29.134554148652086	44.0	140.353359213141	150	9.090909090909092	31190340.0
fastp | AK05_EKDL240003470-1A_223JWCLT4_L2.lib2											5.84007	0.944959	327946282.0	2511326.0	0.44406	97.81203675790711	28.13559638901937						
fastp | AK05_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		7.75862856919332	44.0	138.18067188409628	150	9.090909090909092	1255663.0
fastp | AK05_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.337776763994114	44.0	138.19647469105962	150	9.090909090909092	1255663.0
fastp | AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1											5.74796	0.948899	4913312497.0	37985852.0	0.445429	97.44677975695211	31.97214467329651						
fastp | AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		10.088373495753004	44.0	136.29616653063357	150	9.090909090909092	18992926.0
fastp | AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		10.603145236713843	44.0	136.31370706125006	150	9.090909090909092	18992926.0
fastp | AK12_EKDL240003470-1A_223JWCLT4_L2.lib2											6.721159999999999	0.938504	130173158.0	972600.0	0.441612	97.91209454970101	20.20164294199368						
fastp | AK12_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		9.93448035658652	44.0	142.59932963191446	150	9.090909090909092	486300.0
fastp | AK12_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		10.57067924619291	44.0	142.6132819247378	150	9.090909090909092	486300.0
fastp | AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1											5.00061	0.945892	1799349029.0	13471486.0	0.442685	97.74291732238616	23.480453935659316						
fastp | AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		7.982971860208011	44.0	141.20398002120925	150	9.090909090909092	6735743.0
fastp | AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		8.52792089311005	44.0	141.2001486695677	150	9.090909090909092	6735743.0
fastp | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2											5.883900000000001	0.941032	230530173.0	1724486.0	0.434765	97.6057116077311	22.73798554212503						
fastp | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		7.524401641689437	43.0	142.04562170988922	150	9.090909090909092	862243.0
fastp | AK13_EKDL240003470-1A_223JWCLT4_L2.lib2_2																		8.057876757311519	43.0	142.05918865099514	150	9.090909090909092	862243.0
fastp | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1											4.57895	0.945767	3513118115.0	26419424.0	0.436159	97.40828581349749	26.378211658440616						
fastp | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1_1																		6.3992808101397145	43.0	140.59157519861145	150	9.090909090909092	13209712.0
fastp | AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1_2																		6.879252118191175	43.0	140.59592253033222	150	9.090909090909092	13209712.0
fastp | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2											7.012110000000001	0.940835	215161304.0	1595126.0	0.437665	98.8074664050179	18.103442935917116						
fastp | AK14_EKDL240003470-1A_223JWCLT4_L2.lib2_1																		10.188651554140648	43.0	143.36073137796012	150	9.090909090909092	797563.0
