Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
Erlan_1:bin_000001.fa	92.11	1.21	Neural Network (Specific Model)	11	0.879	51086	305.21961997348654	2351830	0.47	2263	None
Erlan_1:bin_000002.fa	100.0	1.19	Neural Network (Specific Model)	11	0.869	130140	319.91305372290293	4681199	0.6	4244	None
Erlan_1:bin_000003.fa	98.55	0.88	Neural Network (Specific Model)	11	0.91	130837	367.93563087439475	4254828	0.47	3511	None
Erlan_1:bin_000004.fa	98.14	0.39	Gradient Boost (General Model)	11	0.889	62178	337.0189944134078	3047913	0.55	2685	None
Erlan_1:bin_000005.fa	98.72	0.19	Gradient Boost (General Model)	11	0.872	52208	384.89710467706016	2968830	0.37	2245	None
Erlan_1:bin_000006.fa	99.53	0.04	Neural Network (Specific Model)	11	0.884	32693	349.19459198454854	2452036	0.4	2071	None
Erlan_1:bin_000007.fa	97.31	0.46	Gradient Boost (General Model)	11	0.876	37043	307.3189716734111	4413034	0.44	4201	None
Erlan_1:bin_000008.fa	93.88	0.12	Neural Network (Specific Model)	11	0.903	17860	328.12752452394693	1884573	0.48	1733	None
Erlan_1:bin_000010.fa	91.59	2.04	Neural Network (Specific Model)	11	0.865	12619	306.7267334074898	2865700	0.6	2697	None
Erlan_1:bin_000011.fa	97.84	0.41	Gradient Boost (General Model)	11	0.865	22558	293.47865459249675	3139787	0.5	3092	None
Erlan_1:bin_000012.fa	99.62	0.87	Gradient Boost (General Model)	11	0.823	50721	320.53859710962286	3306715	0.36	2837	None
Erlan_1:bin_000014.fa	97.39	0.06	Gradient Boost (General Model)	11	0.891	26018	302.3887147335423	2269981	0.39	2233	None
Erlan_1:bin_000015.fa	92.03	0.57	Gradient Boost (General Model)	11	0.87	356811	365.85721953837896	2346898	0.38	1863	None
Erlan_1:bin_000019.fa	94.42	0.74	Neural Network (Specific Model)	11	0.873	30552	346.4810682893847	3519459	0.45	2958	None
Erlan_1:bin_000021.fa	99.91	0.33	Neural Network (Specific Model)	11	0.911	21328	315.87204591492235	3074205	0.54	2962	None
Erlan_1:bin_000022.fa	88.61	0.07	Neural Network (Specific Model)	11	0.872	26568	346.4838212634823	2316987	0.48	1947	None
Erlan_1:bin_000026.fa	96.5	1.87	Neural Network (Specific Model)	11	0.907	38000	358.43674698795184	4324109	0.44	3652	None
Erlan_1:bin_000027.fa	87.9	5.01	Neural Network (Specific Model)	11	0.911	9598	349.25567010309277	5013721	0.45	4365	None
Erlan_1:bin_000029.fa	95.84	0.62	Neural Network (Specific Model)	11	0.896	20765	353.1597418313836	2928160	0.36	2479	None
Erlan_1:bin_000031.fa	97.05	3.92	Gradient Boost (General Model)	11	0.884	58849	349.33641128025954	4742749	0.4	4007	None
Erlan_1:bin_000032.fa	88.02	0.68	Neural Network (Specific Model)	11	0.894	7110	313.4771315640881	1859427	0.51	1771	None
Erlan_1:bin_000033.fa	96.82	0.22	Gradient Boost (General Model)	11	0.907	114424	357.05882352941177	2524138	0.47	2142	None
Erlan_1:bin_000036.fa	84.9	3.36	Gradient Boost (General Model)	11	0.876	7636	279.11912325285897	3002325	0.54	3148	None
Erlan_1:bin_000037.fa	93.34	2.83	Neural Network (Specific Model)	11	0.895	34374	364.36062801932366	5047181	0.45	4140	None
Erlan_1:bin_000040.fa	97.98	11.4	Gradient Boost (General Model)	11	0.882	8601	269.3544303797468	1950509	0.39	2133	None
Erlan_1:bin_000042.fa	88.27	3.25	Gradient Boost (General Model)	11	0.902	18815	270.062656641604	1430575	0.3	1596	None
Erlan_1:bin_000043.fa	82.36	2.06	Gradient Boost (General Model)	11	0.915	12267	336.357115604731	2886763	0.59	2621	None
Erlan_1:bin_000044.fa	88.96	0.56	Neural Network (Specific Model)	11	0.92	25295	335.81220472440947	2779057	0.35	2540	None
Erlan_1:bin_000045.fa	85.81	8.25	Gradient Boost (General Model)	11	0.89	19462	301.89824274621986	4971288	0.45	4894	None
Erlan_1:bin_000046.fa	91.35	1.06	Neural Network (Specific Model)	11	0.9	26668	361.541935483871	5038947	0.44	4185	None
Erlan_1:bin_000048.fa	78.08	4.64	Gradient Boost (General Model)	11	0.887	10369	304.06217008797654	3500301	0.57	3410	None
Erlan_1:bin_000049.fa	91.53	0.01	Neural Network (Specific Model)	4	0.905	30920	337.18266666666665	837091	0.27	750	None
Erlan_1:bin_000050.fa	80.71	5.75	Gradient Boost (General Model)	11	0.887	12719	315.0812826249068	4278216	0.57	4023	None
Erlan_1:bin_000051.fa	81.43	3.7	Neural Network (Specific Model)	11	0.915	5156	322.8796776050662	3670245	0.48	3474	None
